Kontiopuiston lentopallokenttä|60.361504,25.09246
Pihlajamäen ala-asteen koulu 2013-2014|60.239136,25.000124
Sakarinmäen koulu 2013-2014|60.26172,25.211557
Tehtaankadun ala-asteen koulu 2013-2014|60.158474,24.94387
Mustakiven ala-asteen koulu 2013-2014|60.205494,25.139406
Pikku Huopalahden ala-asteen koulu 2013-2014|60.20154,24.895185
Santahaminan ala-asteen koulu 2013-2014|60.152355,25.045889
Töyrynummen ala-asteen koulu 2013-2014|60.27104,25.001715
Myllypuron ala-asteen koulu 2013-2014|60.22064,25.06729
Pohjois-Haagan ala-asteen koulu 2013-2014|60.226887,24.891623
Snellmanin ala-asteen koulu 2013-2014|60.16117,24.938715
Vallilan ala-asteen koulu 2013-2014|60.192944,24.963783
Poikkilaakson ala-asteen koulu 2013-2014|60.166313,25.082668
Soinisen koulu 2013-2014|60.249725,24.998173
Vartiokylän ala-asteen koulu 2013-2014|60.218895,25.099289
Oulunkylän ala-asteen koulu 2013-2014|60.23145,24.96125
Puistolanraitin ala-asteen koulu 2013-2014|60.270226,25.051384
Suomenlinnan ala-asteen koulu 2013-2014|60.148594,24.989557
Vesalan ala-asteen koulu 2013-2014|60.241806,25.077316
Pakilan ala-asteen koulu 2013-2014|60.24352,24.93533
Puotilan ala-asteen koulu 2013-2014|60.213882,25.093773
Suutarilan ala-asteen koulu 2013-2014|60.275627,24.998425
Vuosaaren ala-asteen koulu 2013-2014|60.211514,25.142174
Paloheinän ala-asteen koulu 2013-2014|60.25469,24.930449
Pelimannin ala-asteen koulu 2013-2014|60.235744,24.879463
Roihuvuoren ala-asteen koulu 2013-2014|60.200962,25.054358
Tahvonlahden ala-asteen koulu 2013-2014|60.167904,25.036833
Jakomäen peruskoulu 2013-2014|60.259438,25.081205
Metsolan ala-asteen koulu, Itä-Pakilan sivupiste 2013-2014|60.242435,24.962627
Pihkapuiston ala-asteen koulu 2013-2014|60.25182,24.8536
Ruoholahden ala-asteen koulu 2013-2014|60.162346,24.919334
Tapanilan ala-asteen koulu 2013-2014|60.264954,25.024729
Pihlajiston ala-asteen koulu 2013-2014|60.231094,25.008244
Munkkiniemen ala-asteen koulu 2013-2014|60.202244,24.875944
Hiidenkiven peruskoulu 2013-2014|60.262794,25.019796
Porolahden peruskoulu 2013-2014|60.19485,25.051573
Pakilan yläasteen koulu 2013-2014|60.241898,24.92793
Iltapäivätoiminta / Kannelmäen peruskoulu / Kaarelan raitti, Kalliolan Nuoret ry 2013-2014|60.246563,24.893524
Itäkeskuksen peruskoulu 2013-2014|60.214478,25.074312
Puistolan peruskoulu 2013-2014|60.267387,25.055931
Suutarilan yläasteen koulu 2013-2014|60.275017,25.003052
Kallahden peruskoulu 2013-2014|60.201374,25.132303
Pukinmäen peruskoulu 2013-2014|60.249958,24.990788
Tehtaanpuiston yläasteen koulu 2013-2014|60.209152,25.14523
Iltapäivätoiminta / Latokartanon peruskoulu, Opetustoimi 2013-2014|60.231262,25.033005
Käpylän peruskoulu 2013-2014|60.210236,24.946035
Ressun peruskoulu 2013-2014|60.1671,24.925034
Iltapäivätoiminta / Oulunkylän ala-aste, Liikkuva ja Leikkivä Lapsi Helsinki ry 2013-2014|60.23145,24.96125
Vesalan yläasteen koulu 2013-2014|60.242027,25.079123
Iltapäivätoiminta / Metsolan ala-aste, Opetustoimi 2013-2014|60.251553,24.961697
Laajasalon peruskoulu 2013-2014|60.179035,25.056107
Vuosaaren peruskoulu 2013-2014|60.21502,25.139051
Ylä-Malmin peruskoulu 2013-2014|60.25494,25.000233
Yhtenäiskoulu (ala-aste ja yläaste) 2013-2014|60.214165,24.94132
Iltapäivätoiminta / Toivolan koulu, Opetustoimi  2013-2014|60.240864,24.966673
Aleksis Kiven peruskoulu 2013-2014|60.188057,24.951694
Latokartanon peruskoulu 2013-2014|60.23214,25.03647
Karviaistien koulu 2013-2014|60.247627,25.008121
Iltapäivätoiminta / Puistolan peruskoulu, Nano; lasten ja nuorten Kerhotoiminta Oy 2013-2014|60.267387,25.055931
Myllypuron yläasteen koulu 2013-2014|60.2205,25.070446
Aurinkolahden peruskoulu 2013-2014|60.203354,25.14524
Pitäjänmäen peruskoulu 2013-2014|60.226433,24.859324
Naulakallion koulu 2013-2014|60.233135,25.11702
Solakallion koulu 2013-2014|60.24185,24.961147
Iltapäivätoiminta / Vartiokylän ala-aste, Opetustoimi 2013-2014|60.218895,25.099289
Zacharias Topeliusskolan 2013-2014|60.187607,24.912785
Iltapäivätoiminta / Laakavuoren ala-aste (TOI) / 2 toimintayksikkö 490001, työpiste 100022, Varhaiskasvatustoimi 2013-2014|60.239296,25.109514
Drumsö lågstadieskola 2013-2014|60.15734,24.877213
Iltapäivätoiminta / Vuosaaren ala-aste, Opetustoimi 2013-2014|60.211514,25.142174
Åshöjdens grundskola 2013-2014|60.189026,24.945278
Iltapäivätoiminta / Laakavuoren ala-aste / Reppulit/Mökki -ryhmä / 2 toimintayksikkö 490001, työpiste 100022, Varhaiskasvatustoimi 2013-2014|60.239296,25.109514
Kronohagens lågstadieskola 2013-2014|60.174877,24.955643
Helsingin medialukio 2013-2014|60.26979,25.031038
Iltapäivätoiminta / Vuosaaren peruskoulu / Karavaani, Opetustoimi 2013-2014|60.20901,25.124237
Iltapäivätoiminta / Kontulan ala-aste, Jalkapalloseura FC-Itä-Helsinki ry 2013-2014|60.23214,25.091244
Månsas lågstadieskola 2013-2014|60.227585,24.930128
Brändö gymnasium 2013-2014|60.185978,25.001835
Iltapäivätoiminta / Poikkilaakson ala-aste, Kansallinen Lastenliitto - Helsingin piirijärjestö ry 2013-2014|60.166313,25.082668
Iltapäivätoiminta / Keinutien ala-aste, Vesaisten Helsingin piiri ry  2013-2014|60.234955,25.06925
Nordsjö lågstadieskola 2013-2014|60.208645,25.139114
Eftermiddagsverksamhet / Månsas lågstadieskola, Folkhälsan Syd Ab 2013-2014|60.227585,24.930128
Iltapäivätoiminta / Meri-Rastilan ala-aste, Kansallinen Lastenliitto - Helsingin piirijärjestö ry 2013-2014|60.20277,25.119596
Iltapäivätoiminta / Jees-Kallahti / Kallahden peruskoulu, Saalem-nuoret ry 2013-2014|60.201374,25.132303
Högstadieskolan Lönkan 2013-2014|60.179214,24.921833
Eftermiddagsverksamhet / Botby grundskola / Blommis eftis, Utbildningsverket 2013-2014|60.218903,25.091803
Iltapäivätoiminta / Laajasalon peruskoulu, Mannerheimin Lastensuojeluliiton Laajasalon paikallisyhdistys ry 2013-2014|60.17725,25.055544
Iltapäivätoiminta / Kallahden peruskoulu, Helsingin Icehearts ry 2013-2014|60.201374,25.132303
Högstadieskolan Svenska normallyceum 2013-2014|60.163277,24.950687
Etu-Töölön lukio 2013-2014|60.171154,24.922321
Botby grundskola 2013-2014|60.218903,25.091803
Iltapäivätoiminta / Laakavuoren ala-aste, Opetustoimi 2013-2014|60.239296,25.109514
Cygnaeus lågstadieskola 2013-2014|60.162216,24.942333
Iltapäivätoiminta / Jakomäen peruskoulu, Musiikkikoulu Grooven kannatusyhdistys ry 2013-2014|60.261127,25.078753
Minervaskolan 2013-2014|60.17577,24.925644
Iltapäivätoiminta / Myllypuron ala-aste / Korttelikoulu, Opetustoimi 2013-2014|60.22293,25.061161
Degerö lågstadieskola 2013-2014|60.186913,25.043612
Helsingin Uusi Yhteiskoulu 2013-2014|60.23877,24.999256
Helsingin aikuislukio, Itäkeskuksen sivupiste 2013-2014|60.212963,25.071548
The English School 2013-2014|60.193573,24.89586
Helsingin kuvataidelukio 2013-2014|60.185745,24.958439
Helsingin palvelualojen oppilaitos, Roihuvuoren yksikkö 2013-2014|60.206497,25.0592
Helsingin Suomalainen Yhteiskoulu 2013-2014|60.2122,24.889776
Universum|60.15969,24.934397
Itäkeskuksen lukio 2013-2014|60.21299,25.072126
Hangonkadun kuntoutuskeskuksen kirjasto|60.19168,24.939901
Kulosaaren yhteiskoulu 2013-2014|60.18717,25.003601
Kallion lukio 2013-2014|60.183876,24.955107
Helsingin palvelualojen oppilaitos, kauneudenhoitoalan yksikkö 2013-2014|60.195114,24.934902
Myllypuron keskusterveysasema|60.22587,25.076683
Helsingin tekniikan alan oppilaitos, Käpylän yksikkö, AV-viestintä 2013-2014|60.210163,24.978048
Pohjois-Haagan yhteiskoulu 2013-2014|60.227016,24.897505
Iltapäivätoiminta / Pitäjänmäen peruskoulu, Opetustoimi  2013-2014|60.226433,24.859324
Ressun lukio 2013-2014|60.167095,24.938452
Apollon yhteiskoulu 2013-2014|60.245255,24.857239
Helsingin Ranskalais-suomalainen koulu 2013-2014|60.207634,24.869864
Vuosaaren lukio 2013-2014|60.209152,25.14523
Villa Achille|60.19056,25.13938
Elias-koulu 2013-2014|60.157368,24.936579
Helsingin normaalilyseo 2013-2014|60.1628,24.944132
Alueelinen keräyspiste, Latotie 2|60.163692,24.720392
Helsingin aikuislukio 2013-2014|60.199043,24.94865
Helsingin yhteislyseo 2013-2014|60.230705,25.089436
Helsingin luonnontiedelukio 2013-2014|60.21015,24.943836
Helsingin aikuislukio, keskustan sivupiste 2013-2014|60.167095,24.938452
Helsingin yliopiston Viikin normaalikoulu 2013-2014|60.22776,25.029861
Puisto, lähivirkistysalue tai vastaava|60.2432,25.112072
Kuurojen kansanopisto, opiskeluterveydenhuolto|60.221752,24.901112
Pitkänsillanrannan venesatama|60.177288,24.947063
Kouluravintola, Länsi-pasilan aa|60.198906,24.924473
Puisto, lähivirkistysalue tai vastaava|60.31411,25.034664
Rautatientorin WLAN-tukiasema|60.170677,24.94284
Päiväkeskus Konduktööri|60.16925,24.9251
Munkkisaaren laituri, Hernesaari|60.14952,24.920734
Päiväkoti Takatasku|60.255184,24.998552
Eftermiddagsverksamhet / Degerö lågstadieskola, Folkhälsan Syd Ab 2013-2014|60.186913,25.043612
Martinlaakson matonpesupaikka|60.273357,24.860586
Kårböle lågstadieskola|60.252544,24.869848
Puisto, lähivirkistysalue tai vastaava|60.288746,24.958218
Nocturnal|60.208405,24.974316
Kierrätyspiste, Isonmännyntie 14|60.27976,24.91937
Vesalan luonnonjääkenttä|60.24384,25.080643
Hiljaisuuden Jalanjäljet|60.16967,24.937311
Rauhanpatsas|60.158424,24.961859
As Oy Oxfotintie 5|60.165752,24.664396
Helsingin kristillinen koulu, kouluterveydenhuolto|60.24786,24.984253
Kierrätyspiste, Valimotie 9|60.273407,24.970001
Puisto, lähivirkistysalue tai vastaava|60.259853,24.777355
Kierrätyspiste, Trailcon Oy|60.273323,24.760803
Päiväkoti Lauttasaaren Ankkalampi|60.163414,24.882143
VITA Lääkäriasema|60.169567,24.945995
Kiinteistöpalvelut -liikelaitos|60.20615,24.65428
Frida Marina|60.185966,24.951014
Vegemesta Roba|60.163994,24.947714
Soininen -ryhmä|60.249725,24.998173
Palstaviljelyalue Vantaanpuisto-Seura ry|60.312607,24.870117
Maaemo|60.17077,24.908451
Näyttelijätär|60.230152,24.89975
Käpylä -kerho (EHA,yläaste)|60.210236,24.946035
Puisto, lähivirkistysalue tai vastaava|60.325512,25.085896
Malmin sairaala|60.25381,24.998787
Kierrätyspiste, Romu Keinänen Oy|60.18429,24.608213
Laajasalon liikuntapuisto|60.174763,25.055054
Yhteispalvelu-Matinkylä|60.162247,24.738144
As Oy Korpimaa 5 ja 8|60.160515,24.670427
Puisto, lähivirkistysalue tai vastaava|60.33931,25.031776
Nuorisotalo Merirasti|60.20277,25.119596
HUSLAB Katriinan laboratorio|60.346508,24.872917
Tehtaankadun ala-aste, kouluterveydenhuolto|60.158474,24.94387
Tuomiokirkko|60.17034,24.952227
Havukosken koulun liikuntasali|60.318604,25.078186
Jokivarren pallokenttä|60.347813,25.112143
Puisto, lähivirkistysalue tai vastaava|60.30075,24.913733
Alueellinen keräyspiste, Lahnuksentie 2|60.31714,24.71456
Kierrätyspiste, Hiiralantie 23 vastapäätä|60.163948,24.792377
Helsinge skolan liikuntasali|60.282692,24.980982
Daruma Sushi|60.16808,24.930794
Metsämaan kenttä|60.301346,24.755571
Tietohallintoyksikkö|60.18327,24.95873
Iltapäivätoiminta / Torpparinmäen peruskoulu / korttelitalo, Sari Annika Karppinen 2013-2014|60.25872,24.950687
Töölöntori|60.178364,24.924953
Urbanisti|60.18408,24.941483
Epäonnistunut Tyttö|60.17945,24.954086
Custone-pilarit|60.208126,24.889286
Kottby lågstadieskola, skolhälsovård|60.217438,24.956486
Jupperin rantapuisto|60.257107,24.76177
Konalan ala-asteen koulu 2013-2014|60.23672,24.844442
Kauniaisten asema|60.212082,24.7312
Vantaan opistotalon pallokenttä|60.296238,25.042238
Pähkinärinteen nuorisotila|60.26325,24.806398
Temppelinaukion väestöhälytin|60.173058,24.926748
Puisto, lähivirkistysalue tai vastaava|60.266373,24.833715
Töyrynummen ala-aste, kouluterveydenhuolto|60.27104,25.001715
As Oy Ullanmäki 2|60.205856,24.703117
Alueellinen keräyspiste, Johtokiventie / Johtokivenpolku|60.23191,25.014488
Arvo Turtiaisen muistomerkki|60.18375,24.953648
Wee-Gee talo, työväenopiston opetuspaikka|60.17898,24.795868
Kellariteatteri|60.174362,24.951914
Puisto, lähivirkistysalue tai vastaava|60.28066,24.86625
Alueellinen keräyspiste, Valion pääkonttori, Meijeritie 6|60.224663,24.872684
Iltapäivätoiminta / Solakallion koulu / Solakallio (TOI, EAUT) / 1 toimintayksikkö 490001, työpiste 100011, Varhaiskasvatustoimi 2013-2014|60.24185,24.961147
Alueellinen keräyspiste, Karjalankatu 10|60.193016,24.938818
Puisto, lähivirkistysalue tai vastaava|60.27428,25.0983
Ravintola Cantina West|60.166237,24.94836
Perhekoti Tammi|60.30385,24.830904
Lapsia sateenvarjon alla|60.18897,24.940142
Alueellinen keräyspiste, Sakara 2|60.2432,25.075857
Herttoniemenrannan ala-aste, kouluterveydenhuolto|60.19058,25.031828
As Oy Leppävaarankatu 11|60.217304,24.80649
HUSLAB Maunulan laboratorio|60.23481,24.933018
Munkkiniemen väestöhälytin|60.198677,24.882032
Iltapäivätoiminta / Tapanilan ala-aste, Helsingin Nuorten Miesten Kristillinen Yhdistys r.y.|60.264954,25.024729
Työväenopiston Matinkylä-Olarin aluekeskus|60.173088,24.725069
Espoon yhteislyseon koulu ja lukio|60.188427,24.595366
Riihenaika Oy|60.293583,25.036901
Galerie Oljemark|60.17607,24.921589
Tekstiilipaja TATZIA|60.142155,24.671278
Galleria Katariina|60.166424,24.936472
Koivuhovin asema|60.206944,24.702873
A21 Dining|60.166824,24.93584
Puisto, lähivirkistysalue tai vastaava|60.29687,24.900723
Alueellinen keräyspiste, Asematie 26|60.213856,24.716105
Tuomarilan koulu, työväenopiston opetuspaikka|60.202152,24.683985
Kahluuallas, Leikkipuisto Vähätupa|60.233196,24.853737
Lintulaakson koulun kenttä|60.23423,24.819998
Duuri tiimi 2|60.185505,24.963215
Kierrätyspiste, Lassila & Tikanoja|60.290634,24.975101
Daghemmet Arbetets vänner|60.16714,24.93602
Eftermiddagsverksamhet / Fritidshemmet i Kottby / Kottby lågstadieskola, Kottby-Månsas svenska förening r.f. 2013-2014|60.217438,24.956486
Varia Rälssitien toimipiste|60.29952,24.97401
Oittaa - Olari kuntopolku / latu|60.24198,24.657621
Viikinmäen jätevedenpuhdistamo, HSY Vesihuolto|60.224506,24.997887
Gruppfamiljedaghemmet Lyckostugan|60.244484,24.901115
Alueellinen keräyspiste, Haapatie 29 / Suvitie 20|60.255398,24.988132
Alueellinen keräyspiste, Henrikintie 2|60.2259,24.846497
Lintukioski|60.176003,24.984827
Alueellinen keräyspiste, Louhentie 18|60.187767,24.797274
Johan Ludvig Runebergin muistomerkki|60.167458,24.947582
Vallila 2 lähipalvelualue|60.192482,24.927227
Vedenkantaja|60.167957,24.962208
Westendin kenttä|60.162968,24.801516
Havis Amanda|60.167576,24.951492
HSY Vesihuolto, Espoon asiakaspalvelupiste, Mikkelän tukikohta|60.20353,24.626701
Koulu- ja opiskeluterveydenhuolto / Itä-Hakkilan koulu|60.294872,25.108814
Toimintaterapia Matinkylä ja Olari|60.159824,24.748194
Musiikkiopisto, Kilteri|60.261356,24.850576
Otto- Iivari Meurmanin leikkipaikka|60.182407,24.812336
Iltapäivätoiminta / Paloheinän ala-aste, Liikuntapeuhis ry 2013-2014|60.25469,24.930449
Sofianlehdon osasto Kuusela|60.20457,24.948858
Puisto, lähivirkistysalue tai vastaava|60.344006,25.100613
Ravintola Grotesk|60.165565,24.945011
Poliisien kesäkoti|60.155067,24.855543
Muurimestari 1 lähipalvelualue|60.238083,24.875755
Puisto, lähivirkistysalue tai vastaava|60.281208,25.086826
Alueellinen keräyspiste, Jänötie 7|60.360737,25.086987
Leppälinnuntori|60.230373,24.785189
Pohjoisen lastensuojelu Maunula|60.234787,24.936104
Galleria Viileä Punainen|60.26244,25.026966
Työväenopiston kudonta-asema, Tapiola|60.178017,24.794289
Puisto, lähivirkistysalue tai vastaava|60.27581,24.853456
Koukkuniitynpuiston lentopallokenttä|60.28374,24.868334
design by katri/n boutique|60.16332,24.940512
Keski-Espoon urheilupuiston nurmikenttä|60.209503,24.673273
Alueellinen keräyspiste, Peuramäentie 5|60.20381,24.729319
Taavinkoti|60.198925,24.753826
Puisto, lähivirkistysalue tai vastaava|60.281097,24.811409
Alppipuiston koirapuisto|60.191822,24.934692
Puisto, lähivirkistysalue tai vastaava|60.353428,25.134153
Silamuskoti|undefined,undefined
Fredrik Pacius|60.1739,24.943916
Rekolan urheilukenttä|60.33226,25.082998
Ryssänkärjen talviuintipaikka|60.14679,24.890465
Puisto, lähivirkistysalue tai vastaava|60.34586,25.093792
Alueellinen keräyspiste, Kasavuorentie / Marcus Collininkuja|60.21094,24.693314
Westendin uimaranta|60.168167,24.81004
Helsingin Diakonissalaitoksen museo|60.184956,24.939264
Vapaamuurarin hauta|60.175526,24.944382
Juhla- ja kokoustila Kilta|60.16718,24.927734
Päävartio|60.1689,24.957613
Puisto, lähivirkistysalue tai vastaava|60.28097,25.102947
Alueellinen keräyspiste, Rajamännynahde 1|60.226162,24.742506
Smedsintien kenttä|60.206963,24.729347
Alueellinen keräyspiste, Tuulikintie 33|60.32407,25.106451
Leikkipaikka Veijarivuoren puisto|60.14562,24.88496
Mäkelänrinteen lukio ja aikuislukio, opiskeluterveydenhuolto|60.199043,24.94865
Finnkino Flamingo|60.290882,24.969027
Leikkipaikka Kuhankeittäjänpuisto|60.25799,25.002327
Alueellinen keräyspiste, Åminnenkuja 1|60.18444,24.594929
Daghemmet Grankotten|60.211815,24.718485
Latupuiston päiväkoti Rajakylän koulun päiväkotitila|60.24578,25.114157
Laboratory|60.165115,24.944561
Pihlajamäenpuisto|60.160107,24.618496
Koulu- ja opiskeluterveydenhuolto / Simonkylän koulu|60.31681,25.03492
Iltapäivätoiminta / Herttoniemen ala-aste, Opetustoimi|60.203884,25.035465
Soukan koulu liikuntasali|60.13832,24.670687
Alueellinen keräyspiste, Lahnuksentie|60.317375,24.716095
Ravintola Elite|60.17643,24.923353
Juhlapöytä|60.22546,24.84621
Gruppfamiljedaghemmet Sländan|60.243515,24.990248
Tapettitalo|60.184757,24.952637
Kuusikon suunnistusalue|60.286068,25.066883
Leikkipaikka Herttoniemen aluepuisto|60.211567,25.039658
Iltapäivätoiminta / Kallahden nuorisotalo, Kalliolan Nuoret ry|60.205605,25.139841
Espoon kulttuurikeskus, työväenopiston opetuspaikka|60.1777,24.803947
Tilakeskus-liikelaitos|60.20615,24.65428
Helsingin seudun kesäyliopisto|60.171417,24.946657
Saunalahdenpuisto|60.165054,24.609161
Ryijypalvelu|60.163906,24.930605
Heiniemen päiväkoti, kirjastoautopysäkki|60.23639,24.722355
Gornij Dubnjakin taistelun muistomerkki|60.16404,24.948885
Tapio Wirkkalan taidepuisto|60.20749,24.977833
Ravintola Kiltakellari (Sodexo)|60.16142,24.932232
Tuomiokirkon krypta|60.17034,24.952227
Pohjois-Haagan asema|60.230453,24.884068
Suomen valokuvataiteen museo|60.16177,24.903759
Lilla Teatern|60.16768,24.93755
Ryhmäperhepäiväkoti Vanttu, varakoti |60.24646,24.997162
Peltoniemen puiston pallokenttä|60.319214,25.065142
Västersundomin koulun pallokenttä / jää|60.254883,25.141422
Cuba Café|60.166058,24.94303
Lastenkoti Pärske|60.284504,24.877062
Puisto, lähivirkistysalue tai vastaava|60.330494,25.062141
Puisto, lähivirkistysalue tai vastaava|60.329674,24.843388
Stoa|60.21205,25.079428
Koulu- ja opiskeluterveydenhuolto / Kulomäen koulu|60.345493,25.064886
Espoon yhteislyseon koulu|60.188713,24.594084
Lahnuksen koulun kenttä|60.315506,24.714556
As Oy Ruutikatu 9|60.22409,24.822617
Ravintola Tori|60.161568,24.939795
Maunulan yhteiskoulun lukio, opiskeluterveydenhuolto|60.229744,24.92516
Alueellinen keräyspiste, Punalatvantie 36|60.31174,25.022648
Töyrylaakso|60.1943,24.682474
Puisto, lähivirkistysalue tai vastaava|60.290855,25.123627
Cumulus Hakaniemi Helsinki|60.179092,24.949348
Heikelintien päiväkoti|60.218796,24.722233
Majakka|60.242447,25.111853
Sökö Sommarö FBK/VPK|60.12908,24.695787
Iltapäivätoiminta / Ylä-Malmin peruskoulu / Ilo -ryhmä (EAUT) / 2 toimintayksikkö 490001, työpiste 100022, Varhaiskasvatustoimi 2013-2014|60.25494,25.000233
Kierrätyspiste, Falck Oy|60.353813,25.038275
Sinebrychoffin puiston koirapuisto |60.16224,24.93196
Näyttelykeskus WeeGee-talo|60.17898,24.795868
Kirkkosillanpuisto Espoonjokilaakso|60.20987,24.655901
Kela, Espoo / Lippulaivan yhteispalvelu|60.148987,24.65724
Kouluravintola, Staffansby ls|60.26014,25.001045
Iltaruskonpuiston LP|60.176933,24.79098
Puisto, lähivirkistysalue tai vastaava|60.31933,25.003075
Liikuntavirasto, Helsinki|60.183353,24.925898
Haartmanin sairaala|60.190323,24.908272
Taloushallintopalvelu, Helsinki|60.186234,24.966782
As Oy Saarnimäenkuja 8|60.19775,24.668575
Allotria|60.190475,24.963858
HUS-Röntgen Meilahden sairaala|60.190323,24.908272
